日付,島,現在島台数,記録台数,記録率,◎台数,○台数,△台数,◎率,○以上率,△以上率,現行判定
2026-03-19,ハッピ島,8,7,87.5,3,2,2,37.5,62.5,87.5,STRONG
2026-03-19,ファン島①,10,5,50.0,0,2,3,0.0,20.0,50.0,
2026-03-19,ファン島②,10,5,50.0,1,3,1,10.0,40.0,50.0,
2026-03-19,マイジャグ島A,15,7,46.67,1,3,3,6.67,26.67,46.67,
2026-03-19,マイジャグ島B,10,5,50.0,0,3,2,0.0,30.0,50.0,
2026-03-19,マイジャグ島C,10,4,40.0,0,2,2,0.0,20.0,40.0,
2026-03-19,マイジャグ島D,15,5,33.33,2,0,3,13.33,13.33,33.33,
2026-03-19,ミスタ島,10,4,40.0,1,1,2,10.0,20.0,40.0,
2026-03-19,ミラクル島,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-03-29,ガール島,10,4,40.0,2,0,2,20.0,20.0,40.0,
2026-03-29,ゴー島①,10,3,30.0,1,1,1,10.0,20.0,30.0,
2026-03-29,ゴー島②,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-03-29,ネオアイム島②,8,2,25.0,0,0,2,0.0,0.0,25.0,
2026-03-29,ネオアイム島③,8,2,25.0,0,1,1,0.0,12.5,25.0,
2026-03-29,ネオアイム島④,12,2,16.67,0,2,0,0.0,16.67,16.67,
2026-03-29,ネオアイム島⑤,12,3,25.0,1,0,2,8.33,8.33,25.0,
2026-03-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-03-29,ハッピ島,8,3,37.5,0,1,2,0.0,12.5,37.5,
2026-03-29,ファン島①,10,5,50.0,0,0,5,0.0,0.0,50.0,
2026-03-29,ファン島②,10,6,60.0,4,1,1,40.0,50.0,60.0,
2026-03-29,マイジャグ島A,15,3,20.0,2,1,0,13.33,20.0,20.0,
2026-03-29,マイジャグ島B,10,2,20.0,1,1,0,10.0,20.0,20.0,
2026-03-29,マイジャグ島C,10,1,10.0,0,1,0,0.0,10.0,10.0,
2026-03-29,マイジャグ島D,15,6,40.0,4,0,2,26.67,26.67,40.0,
2026-03-29,ミスタ島,10,1,10.0,1,0,0,10.0,10.0,10.0,
2026-03-29,ミラクル島,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-04-09,ガール島,10,8,80.0,5,1,2,50.0,60.0,80.0,STRONG
2026-04-09,ゴー島①,10,5,50.0,1,0,4,10.0,10.0,50.0,
2026-04-09,ゴー島②,10,6,60.0,3,0,3,30.0,30.0,60.0,
2026-04-09,ネオアイム島②,8,2,25.0,0,0,2,0.0,0.0,25.0,
2026-04-09,ネオアイム島③,8,3,37.5,2,0,1,25.0,25.0,37.5,
2026-04-09,ネオアイム島④,12,4,33.33,1,2,1,8.33,25.0,33.33,
2026-04-09,ネオアイム島⑤,12,3,25.0,0,2,1,0.0,16.67,25.0,
2026-04-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-09,ハッピ島,8,4,50.0,1,0,3,12.5,12.5,50.0,
2026-04-09,ファン島①,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-04-09,ファン島②,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-04-09,マイジャグ島A,15,9,60.0,1,2,6,6.67,20.0,60.0,
2026-04-09,マイジャグ島B,10,4,40.0,1,2,1,10.0,30.0,40.0,
2026-04-09,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-09,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-09,ミスタ島,10,5,50.0,0,1,4,0.0,10.0,50.0,
2026-04-09,ミラクル島,10,4,40.0,0,3,1,0.0,30.0,40.0,
2026-04-19,ガール島,10,5,50.0,0,2,3,0.0,20.0,50.0,
2026-04-19,ゴー島①,10,4,40.0,1,1,2,10.0,20.0,40.0,
2026-04-19,ゴー島②,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-04-19,ネオアイム島②,8,4,50.0,0,1,3,0.0,12.5,50.0,
2026-04-19,ネオアイム島③,8,5,62.5,1,1,3,12.5,25.0,62.5,
2026-04-19,ネオアイム島④,12,5,41.67,2,2,1,16.67,33.33,41.67,
2026-04-19,ネオアイム島⑤,12,8,66.67,6,1,1,50.0,58.33,66.67,
2026-04-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-19,ハッピ島,8,4,50.0,1,0,3,12.5,12.5,50.0,
2026-04-19,ファン島①,10,9,90.0,5,1,3,50.0,60.0,90.0,STRONG
2026-04-19,ファン島②,10,4,40.0,1,1,2,10.0,20.0,40.0,
2026-04-19,マイジャグ島A,15,8,53.33,2,3,3,13.33,33.33,53.33,
2026-04-19,マイジャグ島B,10,13,130.0,3,1,9,30.0,40.0,130.0,STRONG
2026-04-19,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-19,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-19,ミスタ島,10,1,10.0,0,0,1,0.0,0.0,10.0,
2026-04-19,ミラクル島,10,6,60.0,1,2,3,10.0,30.0,60.0,
2026-04-29,ガール島,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-04-29,ゴー島①,10,3,30.0,2,0,1,20.0,20.0,30.0,
2026-04-29,ゴー島②,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-04-29,ネオアイム島②,8,3,37.5,1,0,2,12.5,12.5,37.5,
2026-04-29,ネオアイム島③,8,5,62.5,1,1,3,12.5,25.0,62.5,
2026-04-29,ネオアイム島④,12,4,33.33,2,0,2,16.67,16.67,33.33,
2026-04-29,ネオアイム島⑤,12,3,25.0,1,0,2,8.33,8.33,25.0,
2026-04-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-29,ハッピ島,8,5,62.5,3,1,1,37.5,50.0,62.5,
2026-04-29,ファン島①,10,6,60.0,1,4,1,10.0,50.0,60.0,
2026-04-29,ファン島②,10,6,60.0,1,1,4,10.0,20.0,60.0,
2026-04-29,マイジャグ島A,15,11,73.33,1,2,8,6.67,20.0,73.33,CANDIDATE
2026-04-29,マイジャグ島B,10,11,110.0,3,1,7,30.0,40.0,110.0,STRONG
2026-04-29,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-29,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-04-29,ミスタ島,10,6,60.0,3,0,3,30.0,30.0,60.0,
2026-04-29,ミラクル島,10,9,90.0,4,3,2,40.0,70.0,90.0,STRONG
2026-05-09,ガール島,10,8,80.0,5,0,3,50.0,50.0,80.0,STRONG
2026-05-09,ゴー島①,10,5,50.0,1,2,2,10.0,30.0,50.0,
2026-05-09,ゴー島②,10,2,20.0,1,0,1,10.0,10.0,20.0,
2026-05-09,ネオアイム島②,8,5,62.5,2,1,2,25.0,37.5,62.5,
2026-05-09,ネオアイム島③,8,3,37.5,0,1,2,0.0,12.5,37.5,
2026-05-09,ネオアイム島④,12,10,83.33,7,1,2,58.33,66.67,83.33,STRONG
2026-05-09,ネオアイム島⑤,12,3,25.0,1,0,2,8.33,8.33,25.0,
2026-05-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-09,ハッピ島,8,3,37.5,2,0,1,25.0,25.0,37.5,
2026-05-09,ファン島①,10,6,60.0,2,0,4,20.0,20.0,60.0,
2026-05-09,ファン島②,10,6,60.0,0,0,6,0.0,0.0,60.0,
2026-05-09,マイジャグ島A,15,8,53.33,2,2,4,13.33,26.67,53.33,
2026-05-09,マイジャグ島B,10,6,60.0,0,3,3,0.0,30.0,60.0,
2026-05-09,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-09,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-09,ミスタ島,10,3,30.0,1,0,2,10.0,10.0,30.0,
2026-05-09,ミラクル島,10,5,50.0,2,2,1,20.0,40.0,50.0,
2026-05-19,ガール島,10,9,90.0,6,1,2,60.0,70.0,90.0,STRONG
2026-05-19,ゴー島①,10,5,50.0,0,2,3,0.0,20.0,50.0,
2026-05-19,ゴー島②,10,6,60.0,0,1,5,0.0,10.0,60.0,
2026-05-19,ネオアイム島②,8,2,25.0,0,0,2,0.0,0.0,25.0,
2026-05-19,ネオアイム島③,8,6,75.0,1,1,4,12.5,25.0,75.0,CANDIDATE
2026-05-19,ネオアイム島④,12,4,33.33,1,0,3,8.33,8.33,33.33,
2026-05-19,ネオアイム島⑤,12,3,25.0,0,1,2,0.0,8.33,25.0,
2026-05-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-19,ハッピ島,8,3,37.5,2,0,1,25.0,25.0,37.5,
2026-05-19,ファン島①,10,3,30.0,0,1,2,0.0,10.0,30.0,
2026-05-19,ファン島②,10,4,40.0,1,2,1,10.0,30.0,40.0,
2026-05-19,マイジャグ島A,15,10,66.67,2,2,6,13.33,26.67,66.67,
2026-05-19,マイジャグ島B,10,9,90.0,1,1,7,10.0,20.0,90.0,STRONG
2026-05-19,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-19,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-19,ミスタ島,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-19,ミラクル島,10,3,30.0,1,1,1,10.0,20.0,30.0,
2026-05-29,ガール島,10,3,30.0,2,0,1,20.0,20.0,30.0,
2026-05-29,ゴー島①,10,5,50.0,0,1,4,0.0,10.0,50.0,
2026-05-29,ゴー島②,10,6,60.0,1,3,2,10.0,40.0,60.0,
2026-05-29,ネオアイム島②,8,3,37.5,1,1,1,12.5,25.0,37.5,
2026-05-29,ネオアイム島③,8,4,50.0,1,2,1,12.5,37.5,50.0,
2026-05-29,ネオアイム島④,12,3,25.0,0,0,3,0.0,0.0,25.0,
2026-05-29,ネオアイム島⑤,12,3,25.0,2,0,1,16.67,16.67,25.0,
2026-05-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-29,ハッピ島,8,7,87.5,3,1,3,37.5,50.0,87.5,STRONG
2026-05-29,ファン島①,10,7,70.0,0,3,4,0.0,30.0,70.0,CANDIDATE
2026-05-29,ファン島②,10,2,20.0,1,0,1,10.0,10.0,20.0,
2026-05-29,マイジャグ島A,15,11,73.33,2,2,7,13.33,26.67,73.33,CANDIDATE
2026-05-29,マイジャグ島B,10,9,90.0,3,0,6,30.0,30.0,90.0,STRONG
2026-05-29,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-29,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-05-29,ミスタ島,10,5,50.0,0,1,4,0.0,10.0,50.0,
2026-05-29,ミラクル島,10,4,40.0,2,2,0,20.0,40.0,40.0,
2026-06-09,ガール島,10,3,30.0,3,0,0,30.0,30.0,30.0,
2026-06-09,ゴー島①,10,4,40.0,2,0,2,20.0,20.0,40.0,
2026-06-09,ゴー島②,10,3,30.0,1,0,2,10.0,10.0,30.0,
2026-06-09,ネオアイム島②,8,4,50.0,0,1,3,0.0,12.5,50.0,
2026-06-09,ネオアイム島③,8,5,62.5,3,1,1,37.5,50.0,62.5,
2026-06-09,ネオアイム島④,12,5,41.67,0,2,3,0.0,16.67,41.67,
2026-06-09,ネオアイム島⑤,12,2,16.67,0,1,1,0.0,8.33,16.67,
2026-06-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-09,ハッピ島,8,5,62.5,1,1,3,12.5,25.0,62.5,
2026-06-09,ファン島①,10,1,10.0,1,0,0,10.0,10.0,10.0,
2026-06-09,ファン島②,10,7,70.0,2,4,1,20.0,60.0,70.0,CANDIDATE
2026-06-09,マイジャグ島A,15,10,66.67,1,1,8,6.67,13.33,66.67,
2026-06-09,マイジャグ島B,10,13,130.0,3,3,7,30.0,60.0,130.0,STRONG
2026-06-09,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-09,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-09,ミスタ島,10,9,90.0,6,2,1,60.0,80.0,90.0,STRONG
2026-06-09,ミラクル島,10,3,30.0,2,0,1,20.0,20.0,30.0,
2026-06-19,ガール島,10,4,40.0,1,1,2,10.0,20.0,40.0,
2026-06-19,ゴー島①,10,4,40.0,0,1,3,0.0,10.0,40.0,
2026-06-19,ゴー島②,10,2,20.0,0,0,2,0.0,0.0,20.0,
2026-06-19,ネオアイム島②,8,6,75.0,0,4,2,0.0,50.0,75.0,CANDIDATE
2026-06-19,ネオアイム島③,8,5,62.5,1,1,3,12.5,25.0,62.5,
2026-06-19,ネオアイム島④,12,12,100.0,7,3,2,58.33,83.33,100.0,STRONG
2026-06-19,ネオアイム島⑤,12,5,41.67,1,1,3,8.33,16.67,41.67,
2026-06-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-19,ハッピ島,8,5,62.5,1,2,2,12.5,37.5,62.5,
2026-06-19,ファン島①,10,5,50.0,2,0,3,20.0,20.0,50.0,
