日付,営業日タイプ,島,台数,平均G数,平均合成確率,◎台数,○以上台数,△以上台数,◎率,○以上率,△以上率,実績スコア,判定,強い全台系フラグ,候補フラグ
2026-06-19,9の日,ミスタ島,10,7052.6,146.26,1,4,6,10.0,40.0,60.0,29.0,通常,0,0
2026-06-19,9の日,ミラクル島,10,7741.3,139.26,2,5,6,20.0,50.0,60.0,37.0,通常,0,0
2026-06-29,9の日,ガール島,10,6388.8,155.86,1,2,4,10.0,20.0,40.0,19.0,通常,0,0
2026-06-29,9の日,ゴー島①,10,7027.3,157.29,0,2,3,0.0,20.0,30.0,12.0,通常,0,0
2026-06-29,9の日,ゴー島②,10,7463.3,133.98,4,4,8,40.0,40.0,80.0,48.0,全台系候補,0,1
2026-06-29,9の日,ネオアイム島①,8,5606.12,168.92,0,1,2,0.0,12.5,25.0,8.75,通常,0,0
2026-06-29,9の日,ネオアイム島②,8,7324.5,155.21,0,2,2,0.0,25.0,25.0,12.5,通常,0,0
2026-06-29,9の日,ネオアイム島③,12,6462.5,175.78,1,1,4,8.33,8.33,33.33,13.33,通常,0,0
2026-06-29,9の日,ネオアイム島④,12,6321.25,164.48,1,2,3,8.33,16.67,25.0,14.17,通常,0,0
2026-06-29,9の日,ネオアイム島⑤,8,7679.5,132.14,3,6,7,37.5,75.0,87.5,58.75,全台系候補,0,1
2026-06-29,9の日,ハッピ島,8,6515.75,153.05,1,1,2,12.5,12.5,25.0,15.0,通常,0,0
2026-06-29,9の日,ファン島①,10,8911.3,135.66,3,5,8,30.0,50.0,80.0,46.0,通常,0,0
2026-06-29,9の日,ファン島②,10,6739.8,167.22,0,0,4,0.0,0.0,40.0,8.0,通常,0,0
2026-06-29,9の日,マイジャグ島A,25,7921.8,150.82,3,6,13,12.0,24.0,52.0,23.6,通常,0,0
2026-06-29,9の日,マイジャグ島B,25,7934.76,140.13,3,7,19,12.0,28.0,76.0,29.6,通常,0,0
2026-06-29,9の日,ミスタ島,10,6633.7,143.13,4,4,5,40.0,40.0,50.0,42.0,全台系候補,0,1
2026-06-29,9の日,ミラクル島,10,7236.9,146.39,2,4,5,20.0,40.0,50.0,32.0,通常,0,0
2026-07-09,9の日,ガール島,10,5651.0,165.07,2,2,3,20.0,20.0,30.0,22.0,通常,0,0
2026-07-09,9の日,ゴー島①,10,7172.5,148.65,0,2,4,0.0,20.0,40.0,14.0,通常,0,0
2026-07-09,9の日,ゴー島②,10,8872.5,123.31,6,6,8,60.0,60.0,80.0,64.0,強い全台系,1,1
2026-07-09,9の日,ネオアイム島①,8,5941.38,143.25,2,3,3,25.0,37.5,37.5,31.25,通常,0,0
2026-07-09,9の日,ネオアイム島②,8,9067.38,131.19,3,5,7,37.5,62.5,87.5,55.0,全台系候補,0,1
2026-07-09,9の日,ネオアイム島③,12,6543.83,158.48,1,1,4,8.33,8.33,33.33,13.33,通常,0,0
2026-07-09,9の日,ネオアイム島④,12,5733.67,170.3,1,1,2,8.33,8.33,16.67,10.0,通常,0,0
2026-07-09,9の日,ネオアイム島⑤,8,5761.75,175.91,0,1,3,0.0,12.5,37.5,11.25,通常,0,0
2026-07-09,9の日,ハッピ島,8,5493.12,151.69,1,2,4,12.5,25.0,50.0,23.75,通常,0,0
2026-07-09,9の日,ファン島①,10,6728.9,159.4,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-07-09,9の日,ファン島②,10,6083.3,172.48,0,2,2,0.0,20.0,20.0,10.0,通常,0,0
2026-07-09,9の日,マイジャグ島A,25,7458.6,150.91,4,6,11,16.0,24.0,44.0,24.0,通常,0,0
2026-07-09,9の日,マイジャグ島B,25,7265.88,150.19,5,6,12,20.0,24.0,48.0,26.8,通常,0,0
2026-07-09,9の日,ミスタ島,10,6696.0,149.58,1,1,5,10.0,10.0,50.0,18.0,通常,0,0
2026-07-09,9の日,ミラクル島,10,6627.7,153.85,1,1,3,10.0,10.0,30.0,14.0,通常,0,0
2026-07-19,9の日,ガール島,10,7062.6,154.99,1,3,4,10.0,30.0,40.0,22.0,通常,0,0
2026-07-19,9の日,ゴー島①,10,6988.0,160.72,1,2,3,10.0,20.0,30.0,17.0,通常,0,0
2026-07-19,9の日,ゴー島②,10,7868.3,138.45,3,3,6,30.0,30.0,60.0,36.0,通常,0,0
2026-07-19,9の日,ネオアイム島①,8,5910.5,191.59,0,2,2,0.0,25.0,25.0,12.5,通常,0,0
2026-07-19,9の日,ネオアイム島②,8,8271.75,141.57,3,4,5,37.5,50.0,62.5,46.25,全台系候補,0,1
2026-07-19,9の日,ネオアイム島③,12,7332.75,151.88,1,1,7,8.33,8.33,58.33,18.33,通常,0,0
2026-07-19,9の日,ネオアイム島④,12,7855.42,152.12,1,1,5,8.33,8.33,41.67,15.0,通常,0,0
2026-07-19,9の日,ネオアイム島⑤,8,8165.38,133.14,4,5,7,50.0,62.5,87.5,61.25,強い全台系,1,1
2026-07-19,9の日,ハッピ島,8,9105.88,112.84,7,8,8,87.5,100.0,100.0,93.75,強い全台系,1,1
2026-07-19,9の日,ファン島①,10,9102.9,123.74,4,8,10,40.0,80.0,100.0,64.0,全台系候補,0,1
2026-07-19,9の日,ファン島②,10,7012.5,171.9,0,0,3,0.0,0.0,30.0,6.0,通常,0,0
2026-07-19,9の日,マイジャグ島A,25,7961.04,145.75,4,6,14,16.0,24.0,56.0,26.4,通常,0,0
2026-07-19,9の日,マイジャグ島B,25,7618.76,159.08,4,7,11,16.0,28.0,44.0,25.2,通常,0,0
2026-07-19,9の日,ミスタ島,10,8808.6,118.77,6,7,9,60.0,70.0,90.0,69.0,強い全台系,1,1
2026-07-19,9の日,ミラクル島,10,6921.1,151.33,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-07-29,9の日,ガール島,10,6656.2,149.39,3,4,5,30.0,40.0,50.0,37.0,通常,0,0
2026-07-29,9の日,ゴー島①,10,7358.9,154.46,1,1,4,10.0,10.0,40.0,16.0,通常,0,0
2026-07-29,9の日,ゴー島②,10,8452.9,135.06,3,5,6,30.0,50.0,60.0,42.0,通常,0,0
2026-07-29,9の日,ネオアイム島①,8,7025.0,149.54,1,1,4,12.5,12.5,50.0,20.0,通常,0,0
2026-07-29,9の日,ネオアイム島②,8,7348.25,135.07,3,3,6,37.5,37.5,75.0,45.0,全台系候補,0,1
2026-07-29,9の日,ネオアイム島③,12,6959.92,156.28,0,1,5,0.0,8.33,41.67,10.83,通常,0,0
2026-07-29,9の日,ネオアイム島④,12,7162.5,148.8,2,3,5,16.67,25.0,41.67,24.17,通常,0,0
